meanValue,medianValue,standardDeviation,meanAbsoluteDeviation,quantile25,quantile75,signalIQR,sampleSkewness,sampleKurtosis,spectralEntropy,dominantFrequencyValue,dominantFrequencyMagnitude,dominantFrequencyRatio,Error1,Error2,Error3,Error4
0.023371988,0.023368562,0.000133729,0.000115309,0.023257735,0.023484146,0.00022641,0.089741815,1.821604802,-0.272065025,0,0.656374013,0.998619608,1,0,0,0
0.023371674,0.023367792,0.000133897,0.000115547,0.023257735,0.023481213,0.000223477,0.086709849,1.820450077,-0.272063508,0,0.656373977,0.998609996,1,0,0,0
0.023372857,0.023368562,0.000133933,0.000115791,0.023258951,0.02348473,0.000225779,0.075385586,1.81295041,-0.272059093,0,0.656373969,0.99861664,1,0,0,0
0.023372445,0.023365157,0.000134228,0.000116217,0.023258951,0.023487541,0.000228591,0.088598805,1.807232513,-0.272059042,0,0.656373905,0.998622811,1,0,0,0
0.023372206,0.0233648,0.000134816,0.000117296,0.023258178,0.023487541,0.000229364,0.088498244,1.792673264,-0.272061615,0,0.656373777,0.998628249,1,0,0,0
0.023373046,0.023365088,0.000135082,0.000117526,0.023258678,0.02348937,0.000230693,0.076812582,1.791785055,-0.272055019,0,0.65637372,0.998630036,1,0,0,0
0.023372214,0.0233648,0.000134695,0.000117196,0.023257549,0.02348808,0.000230531,0.080199245,1.794099824,-0.272066809,0,0.656373805,0.998619974,1,0,0,0
0.023374788,0.023369227,0.000134883,0.000117374,0.023260067,0.023490839,0.000230772,0.058470599,1.791039784,-0.272041021,0,0.656373766,0.99860528,1,0,0,0
0.023373592,0.023369227,0.000135426,0.000117702,0.023258038,0.023490358,0.000232321,0.07172695,1.791157302,-0.272068774,0,0.656373647,0.998625275,1,0,0,0
0.02337503,0.023370882,0.000135153,0.000117508,0.023260729,0.023490538,0.000229809,0.05968885,1.794163162,-0.272047008,0,0.656373708,0.998628975,1,0,0,0
0.023375338,0.02337154,0.00013438,0.000116721,0.023260923,0.023488972,0.000228049,0.052047122,1.807168696,-0.272054831,0,0.656373875,0.998618931,1,0,0,0
0.023375433,0.023373571,0.000133505,0.000116192,0.023261959,0.023487077,0.000225118,0.048446977,1.806917332,-0.272060911,0,0.656374066,0.998624985,1,0,0,0
0.023376083,0.023375158,0.000133565,0.000116351,0.023261959,0.023488972,0.000227013,0.046985327,1.806237816,-0.272053728,0,0.656374053,0.998623637,1,0,0,0
0.023374984,0.02337137,0.000134034,0.000117041,0.023260729,0.0234893,0.000228571,0.048877531,1.790851602,-0.272066953,0,0.656373951,0.998618369,1,0,0,0
