Time,outerFrame1.frame_a.r_0[1],outerFrame1.frame_a.r_0[2],outerFrame1.frame_a.r_0[3],"outerFrame1.frame_a.R.T[1, 1]","outerFrame1.frame_a.R.T[1, 2]","outerFrame1.frame_a.R.T[1, 3]","outerFrame1.frame_a.R.T[2, 1]","outerFrame1.frame_a.R.T[2, 2]","outerFrame1.frame_a.R.T[2, 3]","outerFrame1.frame_a.R.T[3, 1]","outerFrame1.frame_a.R.T[3, 2]","outerFrame1.frame_a.R.T[3, 3]",Revolute1.frame_a.r_0[1],Revolute1.frame_a.r_0[2],Revolute1.frame_a.r_0[3],"Revolute1.frame_a.R.T[1, 1]","Revolute1.frame_a.R.T[1, 2]","Revolute1.frame_a.R.T[1, 3]","Revolute1.frame_a.R.T[2, 1]","Revolute1.frame_a.R.T[2, 2]","Revolute1.frame_a.R.T[2, 3]","Revolute1.frame_a.R.T[3, 1]","Revolute1.frame_a.R.T[3, 2]","Revolute1.frame_a.R.T[3, 3]",innerFrame1.frame_a.r_0[1],innerFrame1.frame_a.r_0[2],innerFrame1.frame_a.r_0[3],"innerFrame1.frame_a.R.T[1, 1]","innerFrame1.frame_a.R.T[1, 2]","innerFrame1.frame_a.R.T[1, 3]","innerFrame1.frame_a.R.T[2, 1]","innerFrame1.frame_a.R.T[2, 2]","innerFrame1.frame_a.R.T[2, 3]","innerFrame1.frame_a.R.T[3, 1]","innerFrame1.frame_a.R.T[3, 2]","innerFrame1.frame_a.R.T[3, 3]",Revolute2.frame_a.r_0[1],Revolute2.frame_a.r_0[2],Revolute2.frame_a.r_0[3],"Revolute2.frame_a.R.T[1, 1]","Revolute2.frame_a.R.T[1, 2]","Revolute2.frame_a.R.T[1, 3]","Revolute2.frame_a.R.T[2, 1]","Revolute2.frame_a.R.T[2, 2]","Revolute2.frame_a.R.T[2, 3]","Revolute2.frame_a.R.T[3, 1]","Revolute2.frame_a.R.T[3, 2]","Revolute2.frame_a.R.T[3, 3]",innerRotor1.frame_a.r_0[1],innerRotor1.frame_a.r_0[2],innerRotor1.frame_a.r_0[3],"innerRotor1.frame_a.R.T[1, 1]","innerRotor1.frame_a.R.T[1, 2]","innerRotor1.frame_a.R.T[1, 3]","innerRotor1.frame_a.R.T[2, 1]","innerRotor1.frame_a.R.T[2, 2]","innerRotor1.frame_a.R.T[2, 3]","innerRotor1.frame_a.R.T[3, 1]","innerRotor1.frame_a.R.T[3, 2]","innerRotor1.frame_a.R.T[3, 3]"
1,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.999850189,-0.01730892,0,0.01730892,0.999850189,0,0.000346178,0.019997004,1,0,0,0,0.999850189,-0.01730892,0,0.01730892,0.999850189,0,0.000346178,0.019997004,0.842976209,0.537870253,-0.009311348,-0.537950844,0.842849923,-0.014591008,0,0.01730892,0.999850189
1.1,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.999818641,-0.019044288,0,0.019044288,0.999818641,0,0.000380886,0.019996373,1,0,0,0,0.999818641,-0.019044288,0,0.019044288,0.999818641,0,0.000380886,0.019996373,0.777003923,0.629381588,-0.011988299,-0.629495753,0.776863007,-0.014797487,0,0.019044288,0.999818641
1.2,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.999783931,-0.020786801,0,0.020786801,0.999783931,0,0.000415736,0.019995679,1,0,0,0,0.999783931,-0.020786801,0,0.020786801,0.999783931,0,0.000415736,0.019995679,0.690903241,0.722791033,-0.01502776,-0.72294724,0.690753958,-0.014361668,0,0.020786801,0.999783931
1.3,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.999746412,-0.022519152,0,0.022519152,0.999746412,0,0.000450383,0.019994928,1,0,0,0,0.999746412,-0.022519152,0,0.022519152,0.999746412,0,0.000450383,0.019994928,0.580162104,0.814294486,-0.018341873,-0.814501033,0.580014981,-0.013064759,0,0.022519152,0.999746412
1.4,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.999705695,-0.024259499,0,0.024259499,0.999705695,0,0.00048519,0.019994114,1,0,0,0,0.999705695,-0.024259499,0,0.024259499,0.999705695,0,0.00048519,0.019994114,0.447802921,0.893869138,-0.021691201,-0.894132285,0.447671131,-0.010863475,0,0.024259499,0.999705695
1.5,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.999662414,-0.025981895,0,0.025981895,0.999662414,0,0.000519638,0.019993248,1,0,0,0,0.999662414,-0.025981895,0,0.025981895,0.999662414,0,0.000519638,0.019993248,0.296732509,0.954638255,-0.024811687,-0.954960637,0.296632336,-0.007709673,0,0.025981895,0.999662414
1.6,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.999615781,-0.027718045,0,0.027718045,0.999615781,0,0.000554361,0.019992316,1,0,0,0,0.999615781,-0.027718045,0,0.027718045,0.999615781,0,0.000554361,0.019992316,0.12944037,0.991206221,-0.027484859,-0.991587208,0.129390637,-0.003587834,0,0.027718045,0.999615781
1.7,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.999566055,-0.029456791,0,0.029456791,0.999566055,0,0.000589136,0.019991321,1,0,0,0,0.999566055,-0.029456791,0,0.029456791,0.999566055,0,0.000589136,0.019991321,-0.05430315,0.99809119,-0.029413327,-0.998524495,-0.054279585,0.001599597,0,0.029456791,0.999566055
1.8,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.999512726,-0.031213964,0,0.031213964,0.999512726,0,0.000624279,0.019990255,1,0,0,0,0.999512726,-0.031213964,0,0.031213964,0.999512726,0,0.000624279,0.019990255,-0.25104356,0.967504121,-0.030214361,-0.967975791,-0.250921232,0.007836065,0,0.031213964,0.999512726
1.9,0,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,1,0,0,0,1,-0.231,0,0,1,0,0,0,0.999457135,-0.032945956,0,0.032945956,0.999457135,0,0.000658919,0.019989143,1,0,0,0,0.999457135,-0.032945956,0,0.032945956,0.999457135,0,0.000658919,0.019989143,-0.445958929,0.894567532,-0.02948839,-0.895053425,-0.445716833,0.014692543,0,0.032945956,0.999457135
